Term_PK	Term_Name	Identifier	Is_Leaf	Synonyms	Parent_term_name	Parent_term_ID	GrandParent_term_name	GrandParent_term_ID
BTO:0000000BTO1	tissues, cell types and enzyme sources	BTO:0000000	1			
BTO:0000001BTO1	culture condition:-induced cell	BTO:0000001	1			BTO:0000216		
BTO:0000002BTO1	culture condition:1,4-dichlorobenzene-grown cell	BTO:0000002	1			BTO:0001479		
BTO:0000003BTO1	intestinal cell line	BTO:0000003	1			BTO:0000648		
BTO:0000004BTO1	culture condition:2,5-dihydroxybenzoate-grown cell	BTO:0000004	1			BTO:0001479		
BTO:0000005BTO1	culture condition:2-aminobenzenesulfonate-grown cell	BTO:0000005	1			BTO:0001479		
BTO:0000006BTO1	osteoblastoma cell	BTO:0000006	1			BTO:0000372		
BTO:0000006BTO1	osteoblastoma cell	BTO:0000006	1			BTO:0001593		
BTO:0000007BTO1	HEK-293 cell	BTO:0000007	1	293 cell, A293 cell, A-293 cell, HEK cell, HEK293 cell, human embryonal kidney cell, human embryonic kidney cell		BTO:0000067		
BTO:0000007BTO1	HEK-293 cell	BTO:0000007	1	293 cell, A293 cell, A-293 cell, HEK cell, HEK293 cell, human embryonal kidney cell, human embryonic kidney cell		BTO:0002733		
BTO:0000008BTO1	culture condition:3-chlorobenzoate-grown cell	BTO:0000008	1			BTO:0001479		
BTO:0000009BTO1	culture condition:3-hydroxybenzoate-grown cell	BTO:0000009	1			BTO:0001479		
BTO:0000010BTO1	culture condition:3-methylcrotonoyl-CoA-grown cell	BTO:0000010	1			BTO:0001479		
BTO:0000011BTO1	3T3-L1 cell	BTO:0000011	1	NIH3T3-L1 cell		BTO:0000944		
BTO:0000012BTO1	culture condition:4-(methoxymethyl)phenol-grown cell	BTO:0000012	1			BTO:0001479		
BTO:0000013BTO1	culture condition:4-chlorophenol-grown cell	BTO:0000013	1			BTO:0001479		
BTO:0000014BTO1	culture condition:4-hydroxybenzoate-grown cell	BTO:0000014	1			BTO:0001479		
BTO:0000015BTO1	culture condition:4-methylmuconolactone-grown cell	BTO:0000015	1			BTO:0001479		
BTO:0000016BTO1	A-172 cell	BTO:0000016	1	A172 cell		BTO:0001530		
BTO:0000017BTO1	A-431 cell	BTO:0000017	1	A431 cell		BTO:0000297		
BTO:0000018BTO1	A-549 cell	BTO:0000018	1	A549 cell, NCI-A549 cell		BTO:0004078		
BTO:0000019BTO1	A7r5 cell	BTO:0000019	1			BTO:0000669		
BTO:0000019BTO1	A7r5 cell	BTO:0000019	1			BTO:0001200		
BTO:0000020BTO1	abdomen	BTO:0000020	1	abdominal cavity		BTO:0001493		
BTO:0000021BTO1	head muscle	BTO:0000021	1			BTO:0001103		
BTO:0000021BTO1	head muscle	BTO:0000021	1			BTO:0000282		
BTO:0000022BTO1	abdominal ganglion	BTO:0000022	1	visceral ganglion		BTO:0000497		
BTO:0000022BTO1	abdominal ganglion	BTO:0000022	1	visceral ganglion		BTO:0001448		
